user_code,user_type,user_email,user_pw,user_nickname,user_name,user_rsd_reg_num,user_phone_num,user_postal_code,user_addr,user_addr_line,user_reg_dt,user_status
1,CUS,leejinsoo1053@example.com,jinsulee1053!#,jinsoo1053,이진수,960915-1789012,010-1234-5678,06196,서울특별시 강남구 삼성로 85길 19,101호,2024-08-01,1
2,CUS,yoonjeongho352@example.com,yoonjungho3524@,jungho12347,윤정호,950722-1678901,010-2345-6789,48087,부산광역시 해운대구 우동 517-1,203호,2024-08-01,1
3,CUS,kimgyubin777@example.com,kimgyubin7783!#,kyukyu7777,김규빈,971130-1890121,010-3456-7890,41942,대구광역시 중구 동성로 125-1,5층,2024-08-01,1
4,CUS,jeongjihum099@example.com,jihumjj09974!!#,jihum099,정지흠,010115-3123456,010-4567-8901,21994,인천광역시 연수구 송도동 1,304호,2024-08-01,1
5,BIS,yunsieun@example.com,bistestpw011!@,어바니_신촌,윤시은,700101-1123456,010-5678-9012,03780,서울특별시 서대문구 연세로2길 50 (창천동),,2024-08-01,1
6,BIS,leegeonjun@example.com,bistestpw012!@,스위스그랜드01,이건준,710214-1234561,010-6789-0123,03650,서울특별시 서대문구 연희로 353 (홍은동),,2024-08-01,1
7,BIS,parksoonyong@example.com,bistestpw013!@,MARI-마리,박순용,900118-2123456,010-7890-1234,05353,서울특별시 강동구 길동 387-7,,2024-08-01,1
8,BIS,leeeinchul@example.com,bistestpw014!@,론스타_창동,이인철,730422-1456781,010-8901-2345,01415,서울특별시 도봉구 창동 14-1,,2024-08-01,1
9,BIS,leehwaja@example.com,bistestpw015!@,씨에스에비뉴_은평,이화자,740530-1567892,010-9012-3456,03473,서울특별시 은평구 응암동 30-2,,2024-08-01,1
10,BIS,shinhyeonpil@example.com,bistestpw016!@,크루즈_월곶,신현필,830515-2456781,010-0123-4567,14966,경기도 시흥시 월곶동 1003-7,,2024-08-01,1
11,BIS,kimkigwon@example.com,bistestpw017!@,동암3n4,김기권,760729-1789012,010-1357-2468,21445,인천광역시 부평구 십정동 402-49,,2024-08-01,1
12,BIS,hongseongjin@example.com,bistestpw018!@,세인트존스_H03,홍성진,871030-2890121,010-2468-3579,25467,강원특별자치도 강릉시 강문동 1-1,,2024-08-01,1
13,BIS,johyeongjun@example.com,bistestpw019!@,힡튼_경주_001,조영준,780915-1901232,010-3579-4680,38117,경상북도 경주시 신평동 370,,2024-08-01,1
14,BIS,jeongseungho@example.com,bistestpw020!@,어반스테이_속초,정승호,991218-2012345,010-4680-5791,24808,강원특별자치도 속초시 영랑동 148-45,,2024-08-01,1
15,BIS,leeyongbaek@example.com,bistestpw021!@,여수는라마다,이용백,800110-2123456,010-5791-6802,59769,전라남도 여수시 돌산읍 우두리 1048-4,,2024-08-01,1
16,BIS,parkjaeok@example.com,bistestpw022!@,아쿠아펠리스_H,박재옥,800115-1123456,010-6802-7913,48303,부산광역시 수영구 광안동 192-5,,2024-08-01,1
17,BIS,leebujin@example.com,bistestpw023!@,스테이화랑_동탄,이부진,810325-2234561,010-7913-8024,18454,경기도 화성시 반송동 92-6,,2024-08-01,1
18,BIS,jeongyunho@example.com,bistestpw024!@,뉴진스아니고뉴시즈,정윤호,820430-2345672,010-8024-9135,46084,부산광역시 기장군 기장읍 시랑리 736,,2024-08-01,1
19,BIS,anhyeri@example.com,bistestpw025!@,말리스파_태안,안혜리,821222-2234561,010-9135-0246,32123,충청남도 태안군 소원면 의항리 1192,,2024-08-01,1
20,BIS,kimhwansik@example.com,bistestpw026!@,웨스트힐스_여수,김환식,750618-1678901,010-0246-1357,59771,전라남도 여수시 돌산읍 평사리 1403-5,,2024-08-01,1
21,BIS,leemansu@example.com,bistestpw027!@,비프리비_영덕,이만수,840722-2567892,010-1358-2469,36403,경상북도 영덕군 병곡면 백석리 340-1,,2024-08-01,1
22,BIS,ohhyunseok@example.com,bistestpw028!@,아쿠아비타_스파수영,오현석,850912-2678901,010-2469-3578,12460,경기도 가평군 설악면 사룡리 9-37,,2024-08-01,1
23,BIS,songkihun@example.com,bistestpw029!@,경주는늘시원01,손기훈,861125-2789012,010-3578-4689,38125,경상북도 경주시 감포읍 감포리 544-2,,2024-08-01,1
24,BIS,chensi@example.com,bistestpw030!@,인스파이어_ch,첸시,770830-1890121,010-4689-5790,22382,인천광역시 중구 운서동 2955-74,,2024-08-01,1
25,BIS,yangjihye@example.com,bistestpw031!@,제주신화월드_H03,양지혜,881215-2901232,010-5790-6801,63522,제주특별자치도 서귀포시 안덕면 서광리 24,,2024-08-01,1
26,BIS,inayoung@example.com,bistestpw032!@,소소한한옥_전주,이나영,891205-2012345,010-6801-7912,55040,전북특별자치도 전주시 완산구 풍남동2가 11-2,,2024-08-01,1
27,BIS,choikyunghoon@example.com,bistestpw033!@,24게하_잠실,최경훈,720315-1345672,010-7912-8023,05582,서울특별시 송파구 삼전동 47,,2024-08-01,1
28,BIS,jeonghyeonjae@example.com,bistestpw034!@,제주풍경어서오세요,정현재,910325-2234561,010-8023-9134,63594,제주특별자치도 서귀포시 서홍동 586,풍경호텔,2024-08-01,1
29,BIS,leedonggun@example.com,bistestpw035!@,경주봉황맨션_001,이동건,920430-2345672,010-9134-0245,38158,경상북도 경주시 노동동 54-2,,2024-08-01,1
